intervention,target,T/K,p/bar,effect_measure,common_support_cells,chemistry_pairs,control_pairs,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,control_status
linker_family_change,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,61,9006,4585,0.0244877346444513,0.017425360347990318,0.05868963502079269,0.7704918032786885,above_control
linker_family_change,post_combustion_N2,298.0,0.075,absolute_uptake_difference,61,9006,4585,0.0005805000000000012,0.0003625,0.000873999999999998,0.7377049180327869,above_control
linker_family_change,post_combustion_N2,298.0,0.075,absolute_log_difference,61,9006,4585,0.011627483391679405,0.005683332251562145,0.026936843524077325,0.7049180327868853,above_control
linker_family_change,post_combustion_N2,298.0,0.075,standardized_absolute_difference,61,9006,4585,0.09137625437572716,0.0570609684947469,0.13757596266044175,0.7377049180327869,above_control
linker_family_change,post_combustion_N2,298.0,0.75,absolute_uptake_difference,61,9006,4585,0.0017499999999999877,0.0005759999999999654,0.0024894999999999917,0.6557377049180327,above_control
linker_family_change,post_combustion_N2,298.0,0.75,absolute_log_difference,61,9006,4585,0.008408541837712336,0.00382377647969645,0.014407079861301075,0.6721311475409836,above_control
linker_family_change,post_combustion_N2,298.0,0.75,standardized_absolute_difference,61,9006,4585,0.053143712574849844,0.017491873396063784,0.07560072711719384,0.6557377049180327,above_control
linker_family_change,pre_combustion_CO2,313.0,0.4,absolute_uptake_difference,61,9006,4585,0.023532999999999915,0.0024569999999999315,0.031957499999999917,0.639344262295082,above_control
linker_family_change,pre_combustion_CO2,313.0,0.4,absolute_log_difference,61,9006,4585,0.028695757771460023,0.008752342722479822,0.03965252232665739,0.6557377049180327,above_control
linker_family_change,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,61,9006,4585,0.022482366036532503,0.0016580183680959676,0.030530753096183583,0.639344262295082,above_control
linker_family_change,pre_combustion_CO2,313.0,16.0,absolute_uptake_difference,61,9006,4582,0.21205900000000177,0.15075950000000038,0.27727549999999823,0.7704918032786885,above_control
linker_family_change,pre_combustion_CO2,313.0,16.0,absolute_log_difference,61,9006,4582,0.011618411115522642,0.00847752591584161,0.013680697667063035,0.819672131147541,above_control
linker_family_change,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,61,9006,4582,0.035157804159291914,0.02537612610508934,0.04597021454958102,0.7704918032786885,above_control
linker_family_change,pre_combustion_H2,313.0,0.6,absolute_uptake_difference,61,9006,4585,0.0011105000000000004,0.0008360000000000103,0.0013865000000000058,0.8360655737704918,above_control
linker_family_change,pre_combustion_H2,313.0,0.6,absolute_log_difference,61,9006,4585,0.012695910989210968,0.008824593791343815,0.016085483841814074,0.8360655737704918,above_control
linker_family_change,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,61,9006,4585,0.03848221430176926,0.028969951513984217,0.04804645666763015,0.8360655737704918,above_control
linker_family_change,pre_combustion_H2,313.0,24.0,absolute_uptake_difference,61,9006,4582,0.025541000000000008,0.01110249999999999,0.04076300000000033,0.8524590163934426,above_control
linker_family_change,pre_combustion_H2,313.0,24.0,absolute_log_difference,61,9006,4582,0.026817194497923413,0.020723542680890772,0.03228852426732698,0.8360655737704918,above_control
linker_family_change,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,61,9006,4582,0.047721276009313036,0.022742389553477002,0.07616234188041354,0.8524590163934426,above_control
metal_substitution,landfill_CH4,338.0,0.01,absolute_uptake_difference,30,527,4585,-0.0001587500000000002,-0.0002907499999999976,0.00014249999999999918,0.4,crosses_zero
metal_substitution,landfill_CH4,338.0,0.01,absolute_log_difference,30,527,4585,-0.0032123728561892495,-0.023859156581254704,0.022137770650405786,0.43333333333333335,crosses_zero
metal_substitution,landfill_CH4,338.0,0.01,standardized_absolute_difference,30,527,4585,-0.028527207939256723,-0.05224746902890594,0.025607100039962548,0.4,crosses_zero
metal_substitution,landfill_CH4,338.0,4.4,absolute_uptake_difference,30,527,4585,0.008705500000000074,-0.005781499999999995,0.015397249999999987,0.6333333333333333,crosses_zero
metal_substitution,landfill_CH4,338.0,4.4,absolute_log_difference,30,527,4585,0.03423797698017868,0.0077709649749472046,0.10192802377506928,0.7,above_control
metal_substitution,landfill_CH4,338.0,4.4,standardized_absolute_difference,30,527,4585,0.021245670236491446,-0.014109682668689262,0.037576807311333615,0.6333333333333333,crosses_zero
metal_substitution,landfill_CO2,338.0,0.26,absolute_uptake_difference,30,527,4585,0.05071774999999999,0.019208250000000003,0.13727100000000006,0.8,above_control
metal_substitution,landfill_CO2,338.0,0.26,absolute_log_difference,30,527,4585,0.06366128449904732,0.022663824312447192,0.08729292452561867,0.7666666666666667,above_control
metal_substitution,landfill_CO2,338.0,0.26,standardized_absolute_difference,30,527,4585,0.14990949710449453,0.05677497715804443,0.40574013194652914,0.8,above_control
metal_substitution,landfill_CO2,338.0,3.2,absolute_uptake_difference,30,527,4585,0.039165500000000075,-0.004137250000000009,0.14833324999999953,0.6666666666666666,crosses_zero
metal_substitution,landfill_CO2,338.0,3.2,absolute_log_difference,30,527,4585,0.02612313084771241,0.004091848549987065,0.08098145101359866,0.7666666666666667,above_control
metal_substitution,landfill_CO2,338.0,3.2,standardized_absolute_difference,30,527,4585,0.021701613318943477,-0.002292451256942947,0.09097411830184067,0.6666666666666666,crosses_zero
metal_substitution,methane_purification_CH4,298.0,0.9,absolute_uptake_difference,30,527,4585,0.000760000000000061,-0.007311000000000012,0.01576225,0.5666666666666667,crosses_zero
metal_substitution,methane_purification_CH4,298.0,0.9,absolute_log_difference,30,527,4585,0.012683895431356649,0.0025041601060161248,0.03446409133533752,0.7,above_control
metal_substitution,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,30,527,4585,0.0015400977620483812,-0.014815335182019503,0.03194132361821727,0.5666666666666667,crosses_zero
metal_substitution,methane_purification_CH4,298.0,9.0,absolute_uptake_difference,30,527,4585,-0.008368500000000167,-0.04768900000000007,0.018078250000000184,0.4666666666666667,crosses_zero
metal_substitution,methane_purification_CH4,298.0,9.0,absolute_log_difference,30,527,4585,0.008138756404305753,-0.010250968860194165,0.060550557519291226,0.6,crosses_zero
